Plaats,bib,Naam,Swim,Wis1,Bike,Wis2,Run,Eindtijd
76,1120,Kasper de Vos,12:50,1:36,45:42:00,0:53,22:38,01:23:37
77,1069,Koen Mathot,12:06,2:21,41:17:00,2:20,25:39:00,01:23:42
78,1019,Bart Brinkman,12:18,1:02,42:43:00,1:07,26:38:00,01:23:46
79,1095,Jeroen Slagter,15:09,2:06,44:06:00,1:33,21:30,01:24:21
80,1034,Dennis Gijsbers,12:11,1:53,44:12:00,1:05,25:06:00,01:24:24
81,1244,Joeri Uilenreef,13:11,1:24,42:09:00,1:10,27:12:00,01:25:04
82,1122,Marco Weijers,13:29,2:18,42:03:00,0:57,26:44:00,01:25:29
83,1010,Martin van Benten,13:15,1:25,42:53:00,1:18,26:44:00,01:25:33
84,1008,Martin Beek,11:49,1:21,44:07:00,1:03,27:51:00,01:26:08
85,1005,Johan Baas,14:07,1:59,45:14:00,1:31,23:40,01:26:29
86,1080,Mark Pelser,14:22,2:05,42:56:00,2:10,25:49:00,01:27:19
87,1056,Gerard Koopman,12:43,4:07,44:13:00,1:09,25:14:00,01:27:24
88,1070,Koen van der Meer,13:08,2:04,46:32:00,1:16,24:48:00,01:27:46
89,1121,Dennis Wardenaar,12:23,2:07,45:27:00,1:26,26:37:00,01:27:57
90,1009,Peter Beerse,12:40,1:51,44:59:00,1:26,27:15:00,01:28:09
91,1132,Jorrit Zuiker,11:52,1:52,48:22:00,1:24,24:58:00,01:28:27
92,1045,Barry Hoogland,13:31,2:18,44:21:00,1:06,27:22:00,01:28:36
93,1129,Jeroen Wouda,13:38,2:31,46:09:00,1:15,25:05:00,01:28:37
94,1076,Erik Van der Noll,11:39,1:25,47:17:00,1:47,27:37:00,01:29:43
95,1053,Rens van Leeuwen,11:38,1:52,43:32:00,1:26,31:25:00,01:29:51
96,1072,Ralph van der Molen,15:04,2:01,45:52:00,1:18,25:39:00,01:29:51
97,1024,Dick Commandeur,15:07,1:59,42:45:00,1:45,28:19:00,01:29:52
98,1082,Jos van de Pol,12:22,1:21,43:55:00,1:22,31:14:00,01:30:12
99,1123,Jacco van der Werff,16:17,2:43,43:14:00,2:06,26:05:00,01:30:23
100,1026,Leen van Dipten,14:04,1:53,44:10:00,1:50,28:40:00,01:30:36
101,1253,Bryan Currie,15:18,1:44,46:34:00,2:26,24:55:00,01:30:54
102,1062,Walter Langedijk,13:38,2:06,47:03:00,1:29,26:49:00,01:31:04
103,1099,Sam Snaas,12:47,2:24,46:50:00,2:34,27:13:00,01:31:47
104,1030,Jan Duijzer,18:01,3:55,42:37:00,1:23,25:56:00,01:31:50
105,1067,Hans Luyckx,14:26,2:11,45:58:00,1:42,28:02:00,01:32:17
106,1087,Erik van Rijn,14:04,1:46,47:28:00,1:04,27:56:00,01:32:17
107,1108,Dennis Tesselaar,17:00,2:22,43:07:00,1:53,28:31:00,01:32:52
108,1084,Mark Prins,13:17,2:23,45:45:00,1:25,30:49:00,01:33:37
109,1107,Lucas Oliveira Teixeira,12:52,1:49,48:14:00,1:41,29:30:00,01:34:03
110,1046,Sander van Houten,12:25,1:58,49:18:00,2:18,28:09:00,01:34:06
